                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.94083,                0.84257,                 1.0764,                0.92591,                0.97723,                  0.965,                0.73136,                0.93463,                0.78897,                 1.1473,              0.0007629,              0.0007629,              0.0007629
                     88,                0.94741,                0.90022,                 1.0947,                0.93499,                0.97765,                0.97718,                0.73989,                0.94823,                0.79881,                 1.1552,             0.00076208,             0.00076208,             0.00076208
                     89,                 0.9761,                0.88179,                 1.0764,                0.93499,                0.97765,                0.97718,                0.73989,                0.94823,                0.79881,                 1.1552,             0.00076125,             0.00076125,             0.00076125
                     90,                0.92157,                0.82204,                 1.0895,                0.96938,                0.97277,                 0.9818,                 0.7393,                 1.0294,                0.80924,                 1.1586,             0.00076043,             0.00076043,             0.00076043
                     91,                0.93024,                0.88813,                 1.0985,                0.96938,                0.97277,                 0.9818,                 0.7393,                 1.0294,                0.80924,                 1.1586,              0.0007596,              0.0007596,              0.0007596
                     92,                0.98104,                0.90689,                 1.0913,                0.96223,                0.98394,                0.98152,                0.75552,                 1.0162,                0.77809,                 1.1496,             0.00075878,             0.00075878,             0.00075878
                     93,                0.91033,                0.89524,                 1.0644,                0.96223,                0.98394,                0.98152,                0.75552,                 1.0162,                0.77809,                 1.1496,             0.00075796,             0.00075796,             0.00075796
                     94,                0.89368,                 0.8632,                 1.0574,                0.97029,                0.98611,                0.98155,                0.74262,                 1.0533,                0.78812,                 1.1554,             0.00075713,             0.00075713,             0.00075713
                     95,                0.94693,                0.89911,                 1.1078,                0.97029,                0.98611,                0.98155,                0.74262,                 1.0533,                0.78812,                 1.1554,             0.00075631,             0.00075631,             0.00075631
                     96,                0.98221,                0.85667,                 1.0671,                0.97068,                0.98611,                0.98195,                0.74731,                 1.0186,                0.78779,                 1.1583,             0.00075548,             0.00075548,             0.00075548
                     97,                0.96051,                0.87572,                 1.0866,                0.97068,                0.98611,                0.98195,                0.74731,                 1.0186,                0.78779,                 1.1583,             0.00075466,             0.00075466,             0.00075466
                     98,                0.94006,                0.84314,                 1.0863,                  0.964,                0.98169,                0.98203,                0.74879,                 1.0131,                0.79658,                 1.1719,             0.00075383,             0.00075383,             0.00075383
                     99,                0.95503,                0.85676,                 1.0845,                  0.964,                0.98169,                0.98203,                0.74879,                 1.0131,                0.79658,                 1.1719,             0.00075301,             0.00075301,             0.00075301
                    100,                0.95103,                0.83775,                 1.0856,                0.91794,                0.97648,                0.98188,                0.74819,                 0.9735,                0.82049,                 1.1508,             0.00075218,             0.00075218,             0.00075218
                    101,                0.87043,                0.77417,                  1.053,                0.91794,                0.97648,                0.98188,                0.74819,                 0.9735,                0.82049,                 1.1508,             0.00075136,             0.00075136,             0.00075136
                    102,                0.92287,                0.84573,                 1.1006,                0.90484,                0.98611,                0.98154,                0.73616,                0.98653,                0.82114,                 1.1317,             0.00075053,             0.00075053,             0.00075053
                    103,                 0.8826,                 0.8004,                 1.0494,                0.90484,                0.98611,                0.98154,                0.73616,                0.98653,                0.82114,                 1.1317,             0.00074971,             0.00074971,             0.00074971
                    104,                 0.9031,                0.82512,                 1.0752,                0.90012,                0.98611,                0.98151,                0.70405,                 1.0837,                0.81721,                 1.1547,             0.00074888,             0.00074888,             0.00074888
                    105,                0.90601,                0.83789,                 1.0888,                0.90012,                0.98611,                0.98151,                0.70405,                 1.0837,                0.81721,                 1.1547,             0.00074806,             0.00074806,             0.00074806
                    106,                0.99973,                0.85856,                 1.0924,                0.88193,                0.98611,                 0.9815,                0.71171,                 1.0755,                 0.8215,                  1.183,             0.00074723,             0.00074723,             0.00074723
                    107,                0.91726,                0.83383,                 1.0725,                0.88193,                0.98611,                 0.9815,                0.71171,                 1.0755,                 0.8215,                  1.183,             0.00074641,             0.00074641,             0.00074641
                    108,                0.94233,                0.82913,                 1.0911,                0.89382,                0.98611,                0.98201,                 0.7179,                 1.0039,                0.84004,                 1.2072,             0.00074558,             0.00074558,             0.00074558
                    109,                0.87731,                0.78662,                 1.0607,                0.89382,                0.98611,                0.98201,                 0.7179,                 1.0039,                0.84004,                 1.2072,             0.00074476,             0.00074476,             0.00074476
                    110,                0.94093,                0.87002,                  1.077,                0.94543,                0.98611,                0.98198,                0.71453,                 1.0319,                0.80435,                 1.2622,             0.00074394,             0.00074394,             0.00074394
                    111,                 0.9002,                 0.8595,                 1.0676,                0.94543,                0.98611,                0.98198,                0.71453,                 1.0319,                0.80435,                 1.2622,             0.00074311,             0.00074311,             0.00074311
                    112,                0.93459,                0.91634,                 1.1128,                  0.986,                0.98611,                0.98193,                0.72425,                 1.0492,                0.76595,                  1.289,             0.00074229,             0.00074229,             0.00074229
                    113,                0.89683,                0.83908,                 1.0792,                  0.986,                0.98611,                0.98193,                0.72425,                 1.0492,                0.76595,                  1.289,             0.00074146,             0.00074146,             0.00074146
                    114,                 0.9647,                0.87701,                 1.1041,                0.98028,                0.98611,                0.98195,                0.74103,                  1.016,                0.74209,                 1.2551,             0.00074064,             0.00074064,             0.00074064
                    115,                0.96203,                0.82761,                 1.0823,                0.98028,                0.98611,                0.98195,                0.74103,                  1.016,                0.74209,                 1.2551,             0.00073981,             0.00073981,             0.00073981
                    116,                0.93581,                0.83075,                 1.0831,                0.97399,                0.98611,                0.98213,                0.74954,                0.96335,                 0.7739,                 1.2126,             0.00073899,             0.00073899,             0.00073899
                    117,                0.89141,                0.79391,                 1.0534,                0.97399,                0.98611,                0.98213,                0.74954,                0.96335,                 0.7739,                 1.2126,             0.00073816,             0.00073816,             0.00073816
                    118,                0.89277,                0.78663,                 1.0761,                0.96099,                0.98611,                0.98219,                 0.7415,                0.97942,                0.84815,                 1.2237,             0.00073734,             0.00073734,             0.00073734
                    119,                0.93529,                0.83099,                 1.0651,                0.96099,                0.98611,                0.98219,                 0.7415,                0.97942,                0.84815,                 1.2237,             0.00073651,             0.00073651,             0.00073651
                    120,                0.91416,                0.82226,                 1.0788,                0.96246,                0.98611,                0.98226,                0.73216,                 1.0079,                0.87732,                 1.2312,             0.00073569,             0.00073569,             0.00073569
                    121,                  0.886,                0.77724,                 1.0878,                0.96246,                0.98611,                0.98226,                0.73216,                 1.0079,                0.87732,                 1.2312,             0.00073486,             0.00073486,             0.00073486
                    122,                0.90422,                0.81156,                 1.0539,                 0.9251,                0.96094,                0.98198,                0.74339,                 1.0007,                0.82229,                 1.2194,             0.00073404,             0.00073404,             0.00073404
                    123,                0.91141,                 0.8385,                 1.0922,                 0.9251,                0.96094,                0.98198,                0.74339,                 1.0007,                0.82229,                 1.2194,             0.00073321,             0.00073321,             0.00073321
                    124,                0.89798,                0.84729,                 1.0853,                0.89179,                 0.9479,                 0.9817,                0.73417,                 1.0496,                0.78858,                  1.251,             0.00073239,             0.00073239,             0.00073239
                    125,                0.88082,                 0.7961,                 1.0586,                0.89179,                 0.9479,                 0.9817,                0.73417,                 1.0496,                0.78858,                  1.251,             0.00073157,             0.00073157,             0.00073157
                    126,                0.92022,                0.79362,                 1.0518,                0.84535,                0.97646,                0.98143,                 0.7235,                 1.0582,                0.77757,                 1.2291,             0.00073074,             0.00073074,             0.00073074
                    127,                0.88715,                0.78603,                 1.0548,                0.84535,                0.97646,                0.98143,                 0.7235,                 1.0582,                0.77757,                 1.2291,             0.00072992,             0.00072992,             0.00072992
                    128,                0.86866,                0.79089,                 1.0489,                0.87467,                0.97144,                0.98144,                 0.7216,                 1.0359,                0.76467,                 1.1784,             0.00072909,             0.00072909,             0.00072909
                    129,                 0.8347,                0.75677,                 1.0445,                0.87467,                0.97144,                0.98144,                 0.7216,                 1.0359,                0.76467,                 1.1784,             0.00072827,             0.00072827,             0.00072827
                    130,                0.92284,                0.81189,                 1.0932,                0.91677,                0.97918,                0.98145,                0.70868,                  1.031,                0.74291,                 1.1471,             0.00072744,             0.00072744,             0.00072744
                    131,                0.87962,                0.78738,                 1.0536,                0.91677,                0.97918,                0.98145,                0.70868,                  1.031,                0.74291,                 1.1471,             0.00072662,             0.00072662,             0.00072662
                    132,                0.85827,                 0.7956,                  1.059,                0.88444,                0.98611,                0.97634,                0.69445,                 1.0803,                0.74968,                 1.1548,             0.00072579,             0.00072579,             0.00072579
